,County,Water_Body_Name,Landmark,Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level.1,AdvisoryLevelDescription,Contact_Organization,County.1,Landmark.1,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name.1,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude_x,Bloom_Latitude_y,Bloom_Longitude
136,Kern,,West Boat Ramp (West),Last verified >90 days ago,5/14/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/18/2022 14:32,3302,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Environmental Health,Kern,West Boat Ramp (West),5/2/2022 0:00,,Region 5 - Central Valley,,Lake Evans,Detail,-119.3,35.2,,
137,Kern,Lake Isabella,Auxiliary Dam Boat Launch (17),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",2/9/2022 0:00,3198,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Auxiliary Dam Boat Launch (17),2/2/2022 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.5,35.6,35.644007,-118.46706
138,Kern,,Boulder Gulch Campground (4),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/28/2023 15:40,4208,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Boulder Gulch Campground (4),6/5/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.5,35.7,,
139,Kern,,Camp 9 North (7),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",3/16/2023 13:38,4071,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Camp 9 North (7),3/8/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.4,35.7,,
140,Kern,,Camp Nine South (8),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",4/15/2022 0:00,3252,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Camp Nine South (8),4/11/2022 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.4,35.7,35.68579,-118.44128
141,Kern,,French Gulch Campground E (3),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",2/9/2022 0:00,3195,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,French Gulch Campground E (3),2/2/2022 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.5,35.7,35.655589,-118.47789
142,Kern,,French Gulch Campground W (2),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",2/9/2022 0:00,3194,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,French Gulch Campground W (2),2/2/2022 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.5,35.7,35.655093,-118.47945
143,Kern,,French Gulch Marina (1),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",2/9/2022 0:00,3193,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,French Gulch Marina (1),2/2/2022 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.5,35.7,35.650634,-118.48391
144,Kern,,Hanning Flat (10),Last verified >90 days ago,7/1/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/28/2023 16:07,4210,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Hanning Flat (10),6/5/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.4,35.7,,
145,Kern,,Kissack Bay (13),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",3/16/2023 13:39,4072,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Kissack Bay (13),3/8/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.4,35.7,,
146,Kern,,Old Isabella Road (16),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",2/9/2022 0:00,3197,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Old Isabella Road (16),2/2/2022 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.5,35.7,35.65204,-118.45982
147,Kern,,Paradise Cove (14),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",4/15/2022 0:00,3253,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Paradise Cove (14),4/11/2022 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.4,35.7,35.65237,-118.42599
148,Kern,,Patterson Lane (12),Last verified >90 days ago,7/1/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/28/2023 16:10,4212,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Patterson Lane (12),6/5/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.4,35.7,,
149,Kern,,South Fork Marina (15),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",2/9/2022 0:00,3196,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,South Fork Marina (15),2/2/2022 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.4,35.7,35.66013,-118.43819
150,Kern,,South Fork Wildlife Area (11),Last verified >90 days ago,12/11/2023,"Dry site, no sampling.; Updates from routine monitoring program-organization","No water sampling or testing was conducted by a routine water monitoring program since the site was dry when visited.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/28/2023 16:09,4211,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,South Fork Wildlife Area (11),6/21/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.3,35.7,,
151,Kern,,Stine Cove (9),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",2/1/2023 11:22,4054,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Stine Cove (9),1/24/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.4,35.7,,
152,Kern,,Tillie Creek boat launch (5),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",2/1/2023 11:21,4053,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Tillie Creek boat launch (5),1/24/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.5,35.7,,
153,Kern,,Tillie Creek Campground (6),None,11/5/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/28/2023 16:04,4209,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Kern County Public Health (https://kernpublichealth.com/cyanobacteria-blooms-blue-green-algae/),Kern,Tillie Creek Campground (6),6/5/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Isabella,Detail,-118.5,35.7,,
154,Kern,Lake Webb,Buena Vista Aquatic Recreational Area (Central),Last verified >90 days ago,5/14/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/18/2022 14:53,3306,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Environmental Health,Kern,Buena Vista Aquatic Recreational Area (Central),5/2/2022 0:00,,Region 5 - Central Valley,,Lake Webb,Detail,-119.3,35.2,,
155,Kern,,East Boat Ramp (East),Last verified >90 days ago,5/14/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/18/2022 14:51,3305,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Environmental Health,Kern,East Boat Ramp (East),5/2/2022 0:00,,Region 5 - Central Valley,,Lake Webb,Detail,-119.3,35.2,,
156,Kern,,West Boat Ramp (West),Last verified >90 days ago,5/14/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/18/2022 14:50,3304,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Environmental Health,Kern,West Boat Ramp (West),5/2/2022 0:00,,Region 5 - Central Valley,,Lake Webb,Detail,-119.3,35.2,,
157,Kings,Lake Isabella,south fork campground,Last verified >90 days ago,7/17/2024,Under investigation,This report is under investigation.,7/16/2024 11:58,4611,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Kings,south fork campground,7/14/2024 0:00,,Region 5 - Central Valley,,Lake Isabella,Detail,-118.4,35.7,,
158,Lake,Bear Creek,Bear Creek ~1.5mi above Rice Fork Creek,Last verified >90 days ago,6/11/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,6/11/2024 15:59,4523,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Lake,Bear Creek ~1.5mi above Rice Fork Creek,6/4/2024 0:00,,Region 1 - North Coast,,Bear Creek,Detail,-122.8,39.3,,
159,Lake,Cache Creek,Highlands harbor south of Clear Lake,Last verified >90 days ago,7/11/2024,"Suspected bloom, investigation ongoing; Suspected illness reported","A suspected harmful algal bloom was reported, an investigation is underway and this report will be updated once info is provided by the responding organizations.  Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",7/9/2024 18:29,4574,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,None,Lake,Highlands harbor south of Clear Lake,7/8/2024 0:00,,Region 5 - Central Valley,,Cache Creek,Detail,-122.6,38.9,,
160,Lake,Clear Lake, Lily Cove (LC01),Caution,10/23/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/14/2022 17:18,3471,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Band of Pomo Indians,Lake, Lily Cove (LC01),6/6/2022 0:00,,Region 5 - Central Valley,,Clear Lake,Detail,-122.7,39,,
161,Lake,, Rodman Slough (RODS),Caution,10/17/2024,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/19/2022 14:25,3322,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake, Rodman Slough (RODS),5/10/2022 0:00,,Region 5 - Central Valley,,Clear Lake,Detail,-122.9,39.1,,
162,Lake,, Soda Bay Cove (CLV7),None,10/23/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/19/2022 14:24,3321,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Big Valley Rancheria,Lake, Soda Bay Cove (CLV7),5/10/2022 0:00,,Region 5 - Central Valley,,Clear Lake,Detail,-122.8,39,,
163,Lake,,Austin Park (AP01),Caution,10/23/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3234,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,Austin Park (AP01),2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.7,39,38.95983,-122.65027
164,Lake,,Buckingham Park (BP),None,10/23/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",4/15/2022 0:00,3236,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Big Valley Rancheria,Lake,Buckingham Park (BP),2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.8,39,39.000958,-122.75073
165,Lake,,Cache Creek Shady Acres (SHADY01),Caution,10/23/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/19/2022 14:20,3316,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,Cache Creek Shady Acres (SHADY01),5/10/2022 0:00,,Region 5 - Central Valley,,Clear Lake,Detail,-122.6,38.9,,
166,Lake,,Clearlake Keys (KEYS03),Caution,10/23/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/19/2022 14:24,3320,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,Clearlake Keys (KEYS03),5/10/2022 0:00,,Region 5 - Central Valley,,Clear Lake,Detail,-122.7,39,,
167,Lake,,Clearlake Oaks near Water Intake (CLOAKS01),Caution,10/17/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3238,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,Clearlake Oaks near Water Intake (CLOAKS01),2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.7,39,39.01929,-122.67514
168,Lake,,County Park (CP),Caution,10/17/2024,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/19/2022 14:23,3319,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,County Park (CP),5/10/2022 0:00,,Region 5 - Central Valley,,Clear Lake,Detail,-122.8,39,,
169,Lake,,Elem Indian Colony (ELEM01),None,10/23/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",4/15/2022 0:00,3239,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Big Valley Rancheria,Lake,Elem Indian Colony (ELEM01),2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.7,39,39.0094,-122.67383
170,Lake,,Glenhaven (GH),Caution,10/23/2024,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/19/2022 14:21,3317,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,Glenhaven (GH),5/10/2022 0:00,,Region 5 - Central Valley,,Clear Lake,Detail,-122.7,39,,
171,Lake,,Horseshoe Bend (HB),Caution,10/23/2024,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/19/2022 14:22,3318,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,Horseshoe Bend (HB),5/10/2022 0:00,,Region 5 - Central Valley,,Clear Lake,Detail,-122.8,39,,
172,Lake,,Jago Bay (JB),Caution,10/23/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/12/2022 15:20,3295,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,Jago Bay (JB),5/4/2022 0:00,,Region 5 - Central Valley,,Clear Lake,Detail,-122.7,38.9,,
173,Lake,,Keeling Park (KP01),None,10/17/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",4/15/2022 0:00,3240,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Big Valley Rancheria,Lake,Keeling Park (KP01),2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.9,39.1,39.121277,-122.85554
174,Lake,,Lakeport 1st Street Ramp (LPTNT),None,10/23/2024,Testing results below posting triggers; Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",4/15/2022 0:00,3241,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Big Valley Rancheria,Lake,Lakeport 1st Street Ramp (LPTNT),2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.9,39,39.042359,-122.91287
175,Lake,,Library Park,Last verified >90 days ago,4/2/2024,Suspected illness reported,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",4/2/2024 14:19,4443,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Lake,Library Park,4/2/2024 0:00,Local Park and Recreation Department,Region 5 - Central Valley,,Clear Lake,Detail,-122.9,39,,
176,Lake,,"Lower Arm, Center of the Lake (DWR site CL-3)",Warning,10/17/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3250,Warning,"NO SWIMMING. Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,"Lower Arm, Center of the Lake (DWR site CL-3)",2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.7,39,38.9643,-122.67888
177,Lake,,Lucerne Harbor Park (LUC01),Caution,10/17/2024,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3233,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,Lucerne Harbor Park (LUC01),2/21/2022 0:00,Public entity; Unknown,Region 5 - Central Valley,San Diego County Water Authority; Unknown,Clear Lake,Detail,-122.8,39.1,39.089696,-122.79611
178,Lake,,"Oaks Arm, Center of the Lake (DWR Site CL-4)",Caution,10/17/2024,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3246,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,"Oaks Arm, Center of the Lake (DWR Site CL-4)",2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.7,39,39.0116,-122.69611
179,Lake,,Redbud Park (RED01),Caution,10/23/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3242,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,Redbud Park (RED01),2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.6,38.9,38.948472,-122.63778
180,Lake,,Rocky Point,Last verified >90 days ago,7/2/2024,Visual monitoring only-present bloom,Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.,7/2/2024 9:55,4545,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Lake,Rocky Point,7/2/2024 0:00,,Region 5 - Central Valley,,Clear Lake,Detail,-122.9,39.1,,
181,Lake,,Tule Boat Launch (The Point) (BVCL6),Caution,10/17/2024,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3235,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Big Valley Rancheria,Lake,Tule Boat Launch (The Point) (BVCL6),5/18/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.9,39,39.026872,-122.88674
