Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude
Last verified >90 days ago,12/30/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/2/2022 12:00:00 AM,3188,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources,San Joaquin,near Franks Tract (HOL),1/19/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Holland Cut,Detail,-121.58190,38.01640
Last verified >90 days ago,9/2/22,Floating/planktonic bloom observed,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",9/2/2022 11:16:59 AM,3687,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,US FWS,San Joaquin,Tower Park Marina,8/19/2022 12:00:00 AM,,Region 5 - Central Valley,,Little Potato Slough,Detail,-121.50019,38.10994
Last verified >90 days ago,12/8/22,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",3/30/2022 12:00:00 AM,3220,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,DWR,San Joaquin,at Howard Road (MHO),3/15/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Middle River,Detail,-121.38332,37.87620
Last verified >90 days ago,12/8/22,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",3/30/2022 12:00:00 AM,3223,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,DWR,San Joaquin,at Tracy (MRX),3/15/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Middle River,Detail,-121.46742,37.88134
Last verified >90 days ago,12/8/22,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",3/30/2022 12:00:00 AM,3221,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,DWR,San Joaquin,at Undine (MRU),3/15/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Middle River,Detail,-121.38572,37.83400
Last verified >90 days ago,12/30/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/2/2022 12:00:00 AM,3186,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources,San Joaquin,near Mildred Island (HLT),1/19/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Middle River,Detail,-121.51080,38.00310
Last verified >90 days ago,9/1/22,,,9/1/2022 5:50:09 PM,3677,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,USGS,San Joaquin,South of Kaketan Island,8/23/2022 12:00:00 AM,,Region 5 - Central Valley,,Middle River,Detail,-121.53361,37.94358
Last verified >90 days ago,12/20/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",3/14/2022 12:00:00 AM,3207,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Dept of Water Resources,San Joaquin,at Mountain House (ORM),3/8/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Old River,Detail,-121.51740,37.79382
Last verified >90 days ago,12/8/22,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",3/30/2022 12:00:00 AM,3222,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,DWR,San Joaquin,at Tracy Wildlife Association (TWA),3/15/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Old River,Detail,-121.45744,37.80283
Last verified >90 days ago,11/30/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/2/2022 12:00:00 AM,3180,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources,San Joaquin,between Franks Tract and San Joaquin River (OSJ),1/6/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Old River,Detail,-121.57890,38.07110
Last verified >90 days ago,12/20/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",3/14/2022 12:00:00 AM,3208,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Dept of Water Resources,San Joaquin,Downstream of the ORT Barrier (ODM),3/8/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Old River,Detail,-121.54443,37.81096
Last verified >90 days ago,8/24/22,Advisory based on visual and toxins; Bottom/benthic bloom observed,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Observations at this site include confirmation of harmful algal bloom that  forms potential toxic algal mats that grow attached to cobble, sand, and plants on the bottom of the waterway. The water can appear clear when algal mats are attached to the bottom. These mats can dislodge and float downstream or strand on the shoreline, children and dogs should avoid touching mat material.",8/24/2022 5:11:08 PM,3655,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Restore the Delta,San Joaquin,East of Frank's Tract (FT),8/19/2022 12:00:00 AM,,Region 5 - Central Valley,,Old River,Detail,-121.57826,38.04236
Last verified >90 days ago,7/22/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,7/22/2022 11:37:43 AM,3579,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,East of Holland Riverside Marina (D28A),7/19/2022 12:00:00 AM,,Region 5 - Central Valley,,Old River,Detail,-121.57300,37.97048
Last verified >90 days ago,12/6/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,5/11/2022 12:57:01 PM,3270,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,Head of Old River  (OH1),5/3/2022 12:00:00 AM,,Region 5 - Central Valley,Other,Old River,Detail,-121.33140,37.80749
Last verified >90 days ago,12/6/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,5/11/2022 12:54:41 PM,3269,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,near Doughty Cut (ORX),5/3/2022 12:00:00 AM,Public entity,Region 5 - Central Valley,Public entity,Old River,Detail,-121.38335,37.81368
Last verified >90 days ago,12/30/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/2/2022 12:00:00 AM,3187,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources,San Joaquin,near Quimby Island (ORQ),1/19/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Old River,Detail,-121.56450,38.02720
Last verified >90 days ago,7/15/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,7/15/2022 4:27:44 PM,3557,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Central Valley Water Board,San Joaquin,between Calaveras River and Buckley Cove (R4),7/6/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.37080,37.96840
Last verified >90 days ago,8/9/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,8/8/2022 8:36:14 AM,3613,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,DOI - USFWS,San Joaquin,Dad's Point,8/5/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.34625,37.95562
Last verified >90 days ago,9/8/22,Floating/planktonic bloom observed; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",8/18/2022 1:11:49 PM,3641,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,San Joaquin,Dos Reis Regional Park,8/17/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.13115,37.83121
Last verified >90 days ago,7/15/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,7/15/2022 4:26:34 PM,3556,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Central Valley Water Board,San Joaquin,East End of Rough and Ready Island (R2),7/6/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.33920,37.95230
Last verified >90 days ago,7/22/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,7/22/2022 11:32:38 AM,3577,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,East of Blind Pt (EZ2_SJR),7/19/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.70832,38.03501
Last verified >90 days ago,8/9/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,8/8/2022 8:39:13 AM,3614,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,DOI - USFWS,San Joaquin,"Lost Isle, Acker Island",8/5/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.44739,37.99739
Last verified >90 days ago,9/1/22,Floating/planktonic bloom observed; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",8/31/2022 1:59:13 PM,3675,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,USFWS,San Joaquin,Mossdale Crossing Regional Park,8/29/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.30725,37.78710
Last verified >90 days ago,11/14/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,7/15/2022 4:23:55 PM,3555,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Central Valley Water Board,San Joaquin,Stockton Turning Basin (R3),7/6/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.31640,37.95220
Last verified >90 days ago,7/22/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,7/22/2022 11:26:44 AM,3575,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,West of West Island (D12),7/19/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.80630,38.02161
Last verified >90 days ago,7/22/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,7/22/2022 11:30:53 AM,3576,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,West of West Island (EZ6_SJR),7/19/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.80704,38.02132
Last verified >90 days ago,7/21/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,7/19/2022 2:38:36 PM,3566,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Reclamation District 828,San Joaquin,"Between Dad's Point/Louis Park and Pershing Avenue, Stockton, CA",7/15/2022 12:00:00 AM,,Region 5 - Central Valley,,Smith Canal,Detail,-121.34090,37.95930
Last verified >90 days ago,12/30/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/2/2022 12:00:00 AM,3185,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources,San Joaquin,near San Joaquin River (TRN),1/19/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Turner Cut,Detail,-121.45420,37.99280
Last verified >90 days ago,12/20/22,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",3/14/2022 12:00:00 AM,3212,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Dept of Water Resources,San Joaquin,near Union Point (VCU),3/8/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Victoria Canal,Detail,-121.53001,37.87095
Last verified >90 days ago,9/2/22,Posted algal mat general awareness,“Algal mats general awareness sign” for HABs posted at this site and nearby access points.,9/2/2022 11:13:36 AM,3686,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,US FWS,San Joaquin,King Island Marina Boat Launch,8/19/2022 12:00:00 AM,,Region 5 - Central Valley,,White Slough,Detail,-121.45862,38.05871
Last verified >90 days ago,9/1/22,Floating/planktonic bloom observed; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",8/31/2022 7:39:30 PM,3676,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,San Joaquin,Village West Marina and Resort behind the marina in the slough and in front of the marina gas dock,8/28/2022 12:00:00 AM,,Region 5 - Central Valley,,White Slough,Detail,-121.45863,38.05867
Last verified >90 days ago,11/28/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/26/2022 11:29:38 AM,3407,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Central Coast Regional Water Quality Control Board,San Luis Obispo,Lopez Lake at the marina,5/16/2022 12:00:00 AM,City Department,Region 3 - Central Coast,Unknown,Lopez Lake,Detail,-120.46404,35.19228
Last verified >90 days ago,12/9/22,Rec general awareness,Water Boards recommends posting “general awareness sign” for HABs at this site and nearby access points.,12/9/2022 9:32:13 AM,3831,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,San Luis Obispo,Santa Margarita Lake at Osprey Camp,11/29/2022 12:00:00 AM,,Region 3 - Central Coast,,Santa Margarita Lake,Detail,-120.49293,35.32770
Last verified >90 days ago,8/30/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,5/20/2022 1:33:29 PM,3341,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Francisco Bay Regional Water Quality Control Board,San Mateo,"Eckenbrack Park, Foster City",5/11/2022 12:00:00 AM,Local Park and Recreation Department,Region 2 - San Francisco Bay,,Central Lake,Detail,-122.26063,37.56356
Last verified >90 days ago,8/30/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,5/20/2022 1:17:44 PM,3337,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Francisco Bay Regional Water Quality Control Board,San Mateo,Pescadero State Beach near mouth of creek,5/11/2022 12:00:00 AM,California State Parks,Region 2 - San Francisco Bay,,Pescadero Creek,Detail,-122.41132,37.26606
Last verified >90 days ago,8/29/22,Marine bloom present (red tide),"Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards agency recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to https://tinyurl.com/HABReport1. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",8/29/2022 7:20:46 AM,3663,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,San Mateo,Blu Harbor Marina,8/29/2022 12:00:00 AM,,Region 2 - San Francisco Bay,,Redwood Creek,Detail,-122.22170,37.50130
Last verified >90 days ago,8/25/22,Marine bloom present (red tide),"Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards agency recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to https://tinyurl.com/HABReport1. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",8/25/2022 9:01:21 AM,3658,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2,San Mateo,Coyote Point Marina,8/24/2022 12:00:00 AM,,Region 2 - San Francisco Bay,,"San Francisco Bay, Lower",Detail,-122.31851,37.59094
Last verified >90 days ago,8/30/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/20/2022 1:21:35 PM,3338,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Francisco Bay Regional Water Quality Control Board,San Mateo,San Gregorio State Beach,5/11/2022 12:00:00 AM,,Region 2 - San Francisco Bay,,San Gregorio Creek,Detail,-122.40234,37.32255
Last verified >90 days ago,6/6/22,No cyano bloom w/testing,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,6/6/2022 11:27:26 AM,3460,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,San Mateo,San Pedro Creek MF upstream footbridge,5/23/2022 12:00:00 AM,,Region 2 - San Francisco Bay,,San Pedro Creek,Detail,-122.46300,37.57500
Last verified >90 days ago,11/22/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,11/22/2022 9:59:12 AM,3795,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Santa Barbara,Santa Ynez River at 13th Street,11/8/2022 12:00:00 AM,,Region 3 - Central Coast,,Santa Ynez River,Detail,-120.55338,34.67662
Last verified >90 days ago,8/30/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,5/20/2022 1:10:05 PM,3336,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Francisco Bay Regional Water Quality Control Board,Santa Clara,Near dock (205MVS100),5/11/2022 12:00:00 AM,,Region 2 - San Francisco Bay,,Shoreline Lake,Detail,-122.08813,37.43302
Last verified >90 days ago,12/28/22,Advisory due to historical data.,Advisory based on historical monitoring data of re-occurring harmful algal blooms in this area.,5/13/2022 8:36:09 AM,3296,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,City of Watsonville,Santa Cruz,Pinto Lake Boat Launch (PLS5),3/21/2022 12:00:00 AM,,Region 3 - Central Coast,City Department,Pinto Lake,Detail,-121.76791,36.95107
Last verified >90 days ago,8/23/22,Rec general awareness,Water Boards recommends posting “general awareness sign” for HABs at this site and nearby access points.,8/19/2022 10:47:15 AM,3643,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Shasta,Lake Britton northshore,8/15/2022 12:00:00 AM,,Region 5 - Central Valley,,Lake Britton,Detail,-121.64980,41.03363
Last verified >90 days ago,7/18/22,No cyano bloom w/testing,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,7/18/2022 11:58:24 AM,3559,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Central Valley Water Board,Shasta,Sundial Bridge,7/11/2022 12:00:00 AM,,Region 5 - Central Valley,,Sacramento River,Detail,-122.37650,40.59200
Last verified >90 days ago,8/25/22,No cyano bloom w/testing; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.",5/27/2022 11:16:59 AM,3437,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Wiskeytown NRA,Shasta,Midlake,5/17/2022 12:00:00 AM,,Region 5 - Central Valley,,Second Pond,Detail,-122.53000,40.62278
Last verified >90 days ago,8/25/22,No cyano bloom w/testing,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,5/27/2022 11:13:20 AM,3436,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Wiskeytown NRA,Shasta,Grizzly Gluch,5/17/2022 12:00:00 AM,,Region 5 - Central Valley,,Whiskeytown Lake,Detail,-122.60000,40.65361
Last verified >90 days ago,9/30/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",7/29/2022 11:38:34 AM,3598,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Dept of Fish and Wildlife,Sierra,0.85 mi downstream Gale Creek,7/18/2022 12:00:00 AM,National Park Service,Region 5 - Central Valley,,Oregon Creek,Detail,-120.96694,39.46556
Last verified >90 days ago,8/17/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,6/23/2022 4:22:47 PM,3486,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Truckee River Watershed Council,Sierra,Boat Launch Access Road,6/16/2022 12:00:00 AM,,Region 6 - Lahontan,,Stampede Reservoir,Detail,-120.13193,39.46977
Last verified >90 days ago,6/24/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,6/24/2022 10:20:46 AM,3487,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Siskiyou,Beans Gulch above Bark Shanty,6/14/2022 12:00:00 AM,,Region 1 - North Coast,,Beans Gulch,Detail,-123.55750,41.47820
Last verified >90 days ago,6/24/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/24/2022 10:26:59 AM,3488,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Siskiyou,Butte Creek ~1.5mi below Spring Creek,6/15/2022 12:00:00 AM,,Region 1 - North Coast,,Butte Creek ~1.5mi below Spring Creek,Detail,-122.06964,41.62029
Last verified >90 days ago,7/7/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",7/7/2022 10:10:17 AM,3525,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Siskiyou,Cherry Creek above Little North Fork Salmon R.,6/21/2022 12:00:00 AM,,Region 1 - North Coast,,Cherry Creek above Little North Fork Salmon R.,Detail,-123.18805,41.36472
Last verified >90 days ago,12/16/22,De-posting advisory.,Water Boards recommends removing the posted advisory at this site.,1/7/2022 12:00:00 AM,3133,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,at Buoy Line (RM 198.74),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,Copco Reservoir,Detail,-122.33122,41.98039
Last verified >90 days ago,12/16/22,De-posting advisory.,Water Boards recommends removing the posted advisory at this site.,1/7/2022 12:00:00 AM,3132,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,at Copco Cove (Public Health),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,Copco Reservoir,Detail,-122.33072,41.98345
Last verified >90 days ago,12/16/22,De-posting advisory.,Water Boards recommends removing the posted advisory at this site.,1/7/2022 12:00:00 AM,3134,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,at Mallard Cove (Public Health),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,Copco Reservoir,Detail,-122.29940,41.97349
Last verified >90 days ago,12/16/22,De-posting advisory.,Water Boards recommends removing the posted advisory at this site.,1/7/2022 12:00:00 AM,3138,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,at Camp Creek (Public Health),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,Iron Gate Reservoir,Detail,-122.43646,41.97251
Last verified >90 days ago,12/16/22,De-posting advisory.,Water Boards recommends removing the posted advisory at this site.,1/7/2022 12:00:00 AM,3137,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,at Jay Williams Boat Ramp (Public Health),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,Iron Gate Reservoir,Detail,-122.44046,41.96224
Last verified >90 days ago,12/16/22,De-posting advisory.,Water Boards recommends removing the posted advisory at this site.,1/7/2022 12:00:00 AM,3136,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,at Log Boom,1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,Iron Gate Reservoir,Detail,-122.43224,41.93822
